algorithm,problem_id,run_id,evaluations,fitness
GSEMO,2200,0,100,-2000.0
GSEMO,2200,0,200,-1965.0
GSEMO,2200,0,500,-1876.0
GSEMO,2200,0,1000,-1744.0
GSEMO,2200,0,2000,-1483.0
GSEMO,2200,0,3000,-1287.0
GSEMO,2200,0,5000,-1003.0
GSEMO,2200,0,7000,-788.0
GSEMO,2200,0,10000,-546.0
GSEMO,2200,0,20000,-179.0
GSEMO,2200,0,30000,-55.0
GSEMO,2200,0,50000,90.04999999999998
GSEMO,2200,0,70000,473.4700000000002
GSEMO,2200,0,100000,729.9299999999997
GSEMO,2200,1,100,-1957.0
GSEMO,2200,1,200,-1935.0
GSEMO,2200,1,500,-1839.0
GSEMO,2200,1,1000,-1707.0
GSEMO,2200,1,2000,-1444.0
GSEMO,2200,1,3000,-1269.0
GSEMO,2200,1,5000,-1005.0
GSEMO,2200,1,7000,-782.0
GSEMO,2200,1,10000,-549.0
GSEMO,2200,1,20000,-196.0
GSEMO,2200,1,30000,-74.0
GSEMO,2200,1,50000,-5.0
GSEMO,2200,1,70000,481.3099999999998
GSEMO,2200,1,100000,710.36
GSEMO,2200,2,100,-1943.0
GSEMO,2200,2,200,-1928.0
GSEMO,2200,2,500,-1842.0
GSEMO,2200,2,1000,-1691.0
GSEMO,2200,2,2000,-1473.0
GSEMO,2200,2,3000,-1267.0
GSEMO,2200,2,5000,-981.0
GSEMO,2200,2,7000,-771.0
GSEMO,2200,2,10000,-562.0
GSEMO,2200,2,20000,-190.0
GSEMO,2200,2,30000,-76.0
GSEMO,2200,2,50000,-4.0
GSEMO,2200,2,70000,676.7099999999999
GSEMO,2200,2,100000,808.6199999999998
GSEMO,2200,3,100,-1976.0
GSEMO,2200,3,200,-1948.0
GSEMO,2200,3,500,-1847.0
GSEMO,2200,3,1000,-1705.0
GSEMO,2200,3,2000,-1481.0
GSEMO,2200,3,3000,-1298.0
GSEMO,2200,3,5000,-1002.0
GSEMO,2200,3,7000,-790.0
GSEMO,2200,3,10000,-568.0
GSEMO,2200,3,20000,-190.0
GSEMO,2200,3,30000,-68.0
GSEMO,2200,3,50000,-4.0
GSEMO,2200,3,70000,336.98000000000013
GSEMO,2200,3,100000,676.9500000000003
GSEMO,2200,4,100,-2037.0
GSEMO,2200,4,200,-1995.0
GSEMO,2200,4,500,-1895.0
GSEMO,2200,4,1000,-1728.0
GSEMO,2200,4,2000,-1476.0
GSEMO,2200,4,3000,-1272.0
GSEMO,2200,4,5000,-961.0
GSEMO,2200,4,7000,-727.0
GSEMO,2200,4,10000,-507.0
GSEMO,2200,4,20000,-161.0
GSEMO,2200,4,30000,-55.0
GSEMO,2200,4,50000,-1.0
GSEMO,2200,4,70000,670.7400000000004
GSEMO,2200,4,100000,716.3899999999999
GSEMO,2200,5,100,-1954.0
GSEMO,2200,5,200,-1918.0
GSEMO,2200,5,500,-1846.0
GSEMO,2200,5,1000,-1695.0
GSEMO,2200,5,2000,-1455.0
GSEMO,2200,5,3000,-1270.0
GSEMO,2200,5,5000,-990.0
GSEMO,2200,5,7000,-747.0
GSEMO,2200,5,10000,-526.0
GSEMO,2200,5,20000,-184.0
GSEMO,2200,5,30000,-70.0
GSEMO,2200,5,50000,-7.0
GSEMO,2200,5,70000,447.9800000000001
GSEMO,2200,5,100000,576.9700000000001
GSEMO,2200,6,100,-1955.0
GSEMO,2200,6,200,-1928.0
GSEMO,2200,6,500,-1822.0
GSEMO,2200,6,1000,-1680.0
GSEMO,2200,6,2000,-1467.0
GSEMO,2200,6,3000,-1260.0
GSEMO,2200,6,5000,-973.0
GSEMO,2200,6,7000,-763.0
GSEMO,2200,6,10000,-537.0
GSEMO,2200,6,20000,-189.0
GSEMO,2200,6,30000,-69.0
GSEMO,2200,6,50000,-8.0
GSEMO,2200,6,70000,434.56
GSEMO,2200,6,100000,763.0100000000001
GSEMO,2200,7,100,-1962.0
GSEMO,2200,7,200,-1927.0
GSEMO,2200,7,500,-1839.0
GSEMO,2200,7,1000,-1731.0
GSEMO,2200,7,2000,-1494.0
GSEMO,2200,7,3000,-1320.0
GSEMO,2200,7,5000,-1004.0
GSEMO,2200,7,7000,-770.0
GSEMO,2200,7,10000,-542.0
GSEMO,2200,7,20000,-192.0
GSEMO,2200,7,30000,-66.0
GSEMO,2200,7,50000,-1.0
GSEMO,2200,7,70000,424.13000000000017
GSEMO,2200,7,100000,758.0899999999999
GSEMO,2200,8,100,-2001.0
GSEMO,2200,8,200,-1981.0
GSEMO,2200,8,500,-1890.0
GSEMO,2200,8,1000,-1751.0
GSEMO,2200,8,2000,-1507.0
GSEMO,2200,8,3000,-1321.0
GSEMO,2200,8,5000,-1026.0
GSEMO,2200,8,7000,-795.0
GSEMO,2200,8,10000,-539.0
GSEMO,2200,8,20000,-205.0
GSEMO,2200,8,30000,-75.0
GSEMO,2200,8,50000,-10.0
GSEMO,2200,8,70000,309.63
GSEMO,2200,8,100000,643.4700000000003
GSEMO,2200,9,100,-1941.0
GSEMO,2200,9,200,-1906.0
GSEMO,2200,9,500,-1804.0
GSEMO,2200,9,1000,-1678.0
GSEMO,2200,9,2000,-1424.0
GSEMO,2200,9,3000,-1257.0
GSEMO,2200,9,5000,-963.0
GSEMO,2200,9,7000,-744.0
GSEMO,2200,9,10000,-511.0
GSEMO,2200,9,20000,-161.0
GSEMO,2200,9,30000,-52.0
GSEMO,2200,9,50000,315.67999999999995
GSEMO,2200,9,70000,578.99
GSEMO,2200,9,100000,749.4399999999999
GSEMO,2200,10,100,-1912.0
GSEMO,2200,10,200,-1885.0
GSEMO,2200,10,500,-1813.0
GSEMO,2200,10,1000,-1687.0
GSEMO,2200,10,2000,-1442.0
GSEMO,2200,10,3000,-1259.0
GSEMO,2200,10,5000,-942.0
GSEMO,2200,10,7000,-749.0
GSEMO,2200,10,10000,-571.0
GSEMO,2200,10,20000,-204.0
GSEMO,2200,10,30000,-67.0
GSEMO,2200,10,50000,-7.0
GSEMO,2200,10,70000,339.75
GSEMO,2200,10,100000,549.0099999999999
GSEMO,2200,11,100,-1957.0
GSEMO,2200,11,200,-1923.0
GSEMO,2200,11,500,-1840.0
GSEMO,2200,11,1000,-1707.0
GSEMO,2200,11,2000,-1463.0
GSEMO,2200,11,3000,-1280.0
GSEMO,2200,11,5000,-1000.0
GSEMO,2200,11,7000,-789.0
GSEMO,2200,11,10000,-542.0
GSEMO,2200,11,20000,-184.0
GSEMO,2200,11,30000,-56.0
GSEMO,2200,11,50000,-4.0
GSEMO,2200,11,70000,439.43000000000006
GSEMO,2200,11,100000,718.88
GSEMO,2200,12,100,-1995.0
GSEMO,2200,12,200,-1968.0
GSEMO,2200,12,500,-1888.0
GSEMO,2200,12,1000,-1764.0
GSEMO,2200,12,2000,-1493.0
GSEMO,2200,12,3000,-1286.0
GSEMO,2200,12,5000,-982.0
GSEMO,2200,12,7000,-762.0
GSEMO,2200,12,10000,-550.0
GSEMO,2200,12,20000,-193.0
GSEMO,2200,12,30000,-64.0
GSEMO,2200,12,50000,-3.0
GSEMO,2200,12,70000,484.59999999999997
GSEMO,2200,12,100000,769.9899999999999
GSEMO,2200,13,100,-1926.0
GSEMO,2200,13,200,-1892.0
GSEMO,2200,13,500,-1812.0
GSEMO,2200,13,1000,-1672.0
GSEMO,2200,13,2000,-1475.0
GSEMO,2200,13,3000,-1280.0
GSEMO,2200,13,5000,-987.0
GSEMO,2200,13,7000,-780.0
GSEMO,2200,13,10000,-538.0
GSEMO,2200,13,20000,-178.0
GSEMO,2200,13,30000,-73.0
GSEMO,2200,13,50000,-1.0
GSEMO,2200,13,70000,480.87000000000006
GSEMO,2200,13,100000,649.3899999999999
GSEMO,2200,14,100,-1983.0
GSEMO,2200,14,200,-1951.0
GSEMO,2200,14,500,-1844.0
GSEMO,2200,14,1000,-1703.0
GSEMO,2200,14,2000,-1456.0
