algorithm,problem_id,run_id,evaluations,fitness
MultiObjective,2202,0,100,-1879.0
MultiObjective,2202,0,200,-1819.0
MultiObjective,2202,0,500,-1757.0
MultiObjective,2202,0,1000,-1718.0
MultiObjective,2202,0,2000,-1574.0
MultiObjective,2202,0,3000,-1517.0
MultiObjective,2202,0,5000,-1410.0
MultiObjective,2202,0,7000,-1314.0
MultiObjective,2202,0,10000,-1161.0
MultiObjective,2202,0,20000,-728.0
MultiObjective,2202,0,30000,-444.0
MultiObjective,2202,0,50000,-88.0
MultiObjective,2202,0,70000,874.0999999999997
MultiObjective,2202,0,100000,1138.8099999999997
MultiObjective,2202,1,100,-1893.0
MultiObjective,2202,1,200,-1844.0
MultiObjective,2202,1,500,-1770.0
MultiObjective,2202,1,1000,-1689.0
MultiObjective,2202,1,2000,-1584.0
MultiObjective,2202,1,3000,-1533.0
MultiObjective,2202,1,5000,-1432.0
MultiObjective,2202,1,7000,-1319.0
MultiObjective,2202,1,10000,-1176.0
MultiObjective,2202,1,20000,-743.0
MultiObjective,2202,1,30000,-453.0
MultiObjective,2202,1,50000,-94.0
MultiObjective,2202,1,70000,895.56
MultiObjective,2202,1,100000,1094.3400000000008
MultiObjective,2202,2,100,-1877.0
MultiObjective,2202,2,200,-1837.0
MultiObjective,2202,2,500,-1765.0
MultiObjective,2202,2,1000,-1718.0
MultiObjective,2202,2,2000,-1557.0
MultiObjective,2202,2,3000,-1507.0
MultiObjective,2202,2,5000,-1392.0
MultiObjective,2202,2,7000,-1280.0
MultiObjective,2202,2,10000,-1143.0
MultiObjective,2202,2,20000,-764.0
MultiObjective,2202,2,30000,-462.0
MultiObjective,2202,2,50000,-102.0
MultiObjective,2202,2,70000,867.3999999999995
MultiObjective,2202,2,100000,1122.48
MultiObjective,2202,3,100,-1867.0
MultiObjective,2202,3,200,-1824.0
MultiObjective,2202,3,500,-1744.0
MultiObjective,2202,3,1000,-1705.0
MultiObjective,2202,3,2000,-1589.0
MultiObjective,2202,3,3000,-1513.0
MultiObjective,2202,3,5000,-1418.0
MultiObjective,2202,3,7000,-1307.0
MultiObjective,2202,3,10000,-1167.0
MultiObjective,2202,3,20000,-798.0
MultiObjective,2202,3,30000,-487.0
MultiObjective,2202,3,50000,-112.0
MultiObjective,2202,3,70000,891.9400000000004
MultiObjective,2202,3,100000,1099.23
MultiObjective,2202,4,100,-1833.0
MultiObjective,2202,4,200,-1809.0
MultiObjective,2202,4,500,-1756.0
MultiObjective,2202,4,1000,-1722.0
MultiObjective,2202,4,2000,-1572.0
MultiObjective,2202,4,3000,-1497.0
MultiObjective,2202,4,5000,-1392.0
MultiObjective,2202,4,7000,-1293.0
MultiObjective,2202,4,10000,-1150.0
MultiObjective,2202,4,20000,-752.0
MultiObjective,2202,4,30000,-456.0
MultiObjective,2202,4,50000,-94.0
MultiObjective,2202,4,70000,803.5300000000001
MultiObjective,2202,4,100000,1118.1999999999998
MultiObjective,2202,5,100,-1876.0
MultiObjective,2202,5,200,-1820.0
MultiObjective,2202,5,500,-1805.0
MultiObjective,2202,5,1000,-1761.0
MultiObjective,2202,5,2000,-1626.0
MultiObjective,2202,5,3000,-1571.0
MultiObjective,2202,5,5000,-1466.0
MultiObjective,2202,5,7000,-1365.0
MultiObjective,2202,5,10000,-1196.0
MultiObjective,2202,5,20000,-797.0
MultiObjective,2202,5,30000,-489.0
MultiObjective,2202,5,50000,-115.0
MultiObjective,2202,5,70000,723.0699999999997
MultiObjective,2202,5,100000,1107.3800000000003
MultiObjective,2202,6,100,-1890.0
MultiObjective,2202,6,200,-1830.0
MultiObjective,2202,6,500,-1767.0
MultiObjective,2202,6,1000,-1738.0
MultiObjective,2202,6,2000,-1649.0
MultiObjective,2202,6,3000,-1567.0
MultiObjective,2202,6,5000,-1452.0
MultiObjective,2202,6,7000,-1354.0
MultiObjective,2202,6,10000,-1185.0
MultiObjective,2202,6,20000,-767.0
MultiObjective,2202,6,30000,-471.0
MultiObjective,2202,6,50000,-99.0
MultiObjective,2202,6,70000,937.4799999999997
MultiObjective,2202,6,100000,1102.4999999999998
MultiObjective,2202,7,100,-1867.0
MultiObjective,2202,7,200,-1843.0
MultiObjective,2202,7,500,-1803.0
MultiObjective,2202,7,1000,-1755.0
MultiObjective,2202,7,2000,-1643.0
MultiObjective,2202,7,3000,-1564.0
MultiObjective,2202,7,5000,-1436.0
MultiObjective,2202,7,7000,-1339.0
MultiObjective,2202,7,10000,-1205.0
MultiObjective,2202,7,20000,-795.0
MultiObjective,2202,7,30000,-471.0
MultiObjective,2202,7,50000,-100.0
MultiObjective,2202,7,70000,605.8699999999999
MultiObjective,2202,7,100000,1118.8099999999997
MultiObjective,2202,8,100,-1874.0
MultiObjective,2202,8,200,-1829.0
MultiObjective,2202,8,500,-1774.0
MultiObjective,2202,8,1000,-1747.0
MultiObjective,2202,8,2000,-1590.0
MultiObjective,2202,8,3000,-1539.0
MultiObjective,2202,8,5000,-1442.0
MultiObjective,2202,8,7000,-1333.0
MultiObjective,2202,8,10000,-1186.0
MultiObjective,2202,8,20000,-775.0
MultiObjective,2202,8,30000,-472.0
MultiObjective,2202,8,50000,-87.0
MultiObjective,2202,8,70000,818.6700000000003
MultiObjective,2202,8,100000,1110.4299999999996
MultiObjective,2202,9,100,-1855.0
MultiObjective,2202,9,200,-1824.0
MultiObjective,2202,9,500,-1791.0
MultiObjective,2202,9,1000,-1765.0
MultiObjective,2202,9,2000,-1648.0
MultiObjective,2202,9,3000,-1537.0
MultiObjective,2202,9,5000,-1431.0
MultiObjective,2202,9,7000,-1321.0
MultiObjective,2202,9,10000,-1161.0
MultiObjective,2202,9,20000,-773.0
MultiObjective,2202,9,30000,-468.0
MultiObjective,2202,9,50000,-92.0
MultiObjective,2202,9,70000,828.0900000000001
MultiObjective,2202,9,100000,1115.34
MultiObjective,2202,10,100,-1862.0
MultiObjective,2202,10,200,-1829.0
MultiObjective,2202,10,500,-1754.0
MultiObjective,2202,10,1000,-1709.0
MultiObjective,2202,10,2000,-1569.0
MultiObjective,2202,10,3000,-1499.0
MultiObjective,2202,10,5000,-1400.0
MultiObjective,2202,10,7000,-1283.0
MultiObjective,2202,10,10000,-1105.0
MultiObjective,2202,10,20000,-700.0
MultiObjective,2202,10,30000,-415.0
MultiObjective,2202,10,50000,-84.0
MultiObjective,2202,10,70000,863.1999999999998
MultiObjective,2202,10,100000,1120.6700000000005
MultiObjective,2202,11,100,-1902.0
MultiObjective,2202,11,200,-1865.0
MultiObjective,2202,11,500,-1788.0
MultiObjective,2202,11,1000,-1739.0
MultiObjective,2202,11,2000,-1595.0
MultiObjective,2202,11,3000,-1525.0
MultiObjective,2202,11,5000,-1429.0
MultiObjective,2202,11,7000,-1316.0
MultiObjective,2202,11,10000,-1158.0
MultiObjective,2202,11,20000,-761.0
MultiObjective,2202,11,30000,-489.0
MultiObjective,2202,11,50000,-105.0
MultiObjective,2202,11,70000,688.0999999999999
MultiObjective,2202,11,100000,1105.4199999999996
MultiObjective,2202,12,100,-1874.0
MultiObjective,2202,12,200,-1864.0
MultiObjective,2202,12,500,-1786.0
MultiObjective,2202,12,1000,-1752.0
MultiObjective,2202,12,2000,-1615.0
MultiObjective,2202,12,3000,-1537.0
MultiObjective,2202,12,5000,-1421.0
MultiObjective,2202,12,7000,-1318.0
MultiObjective,2202,12,10000,-1152.0
MultiObjective,2202,12,20000,-738.0
MultiObjective,2202,12,30000,-452.0
MultiObjective,2202,12,50000,-98.0
MultiObjective,2202,12,70000,725.5500000000002
MultiObjective,2202,12,100000,1096.69
