algorithm,problem_id,run_id,evaluations,fitness
SingleObjective,2200,0,100,-1935.0
SingleObjective,2200,0,200,-1835.0
SingleObjective,2200,0,500,-1535.0
SingleObjective,2200,0,1000,-1035.0
SingleObjective,2200,0,2000,-35.0
SingleObjective,2200,0,3000,82.92000000000006
SingleObjective,2200,0,5000,86.18999999999996
SingleObjective,2200,0,7000,86.18999999999996
SingleObjective,2200,0,10000,146.91
SingleObjective,2200,0,20000,146.91
SingleObjective,2200,0,30000,146.91
SingleObjective,2200,0,50000,146.91
SingleObjective,2200,0,70000,146.91
SingleObjective,2200,0,100000,146.91
SingleObjective,2200,1,100,-1909.0
SingleObjective,2200,1,200,-1833.0
SingleObjective,2200,1,500,-1533.0
SingleObjective,2200,1,1000,-1033.0
SingleObjective,2200,1,2000,-33.0
SingleObjective,2200,1,3000,98.66000000000003
SingleObjective,2200,1,5000,98.66000000000003
SingleObjective,2200,1,7000,98.66000000000003
SingleObjective,2200,1,10000,98.66000000000003
SingleObjective,2200,1,20000,98.66000000000003
SingleObjective,2200,1,30000,101.83999999999999
SingleObjective,2200,1,50000,101.83999999999999
SingleObjective,2200,1,70000,101.83999999999999
SingleObjective,2200,1,100000,101.83999999999999
SingleObjective,2200,2,100,-1935.0
SingleObjective,2200,2,200,-1842.0
SingleObjective,2200,2,500,-1542.0
SingleObjective,2200,2,1000,-1042.0
SingleObjective,2200,2,2000,-42.0
SingleObjective,2200,2,3000,93.43000000000002
SingleObjective,2200,2,5000,93.43000000000002
SingleObjective,2200,2,7000,93.43000000000002
SingleObjective,2200,2,10000,113.62
SingleObjective,2200,2,20000,113.62
SingleObjective,2200,2,30000,113.62
SingleObjective,2200,2,50000,113.62
SingleObjective,2200,2,70000,113.62
SingleObjective,2200,2,100000,113.62
SingleObjective,2200,3,100,-1941.0
SingleObjective,2200,3,200,-1869.0
SingleObjective,2200,3,500,-1569.0
SingleObjective,2200,3,1000,-1069.0
SingleObjective,2200,3,2000,-69.0
SingleObjective,2200,3,3000,56.03000000000001
SingleObjective,2200,3,5000,74.96000000000001
SingleObjective,2200,3,7000,86.94999999999999
SingleObjective,2200,3,10000,89.46
SingleObjective,2200,3,20000,89.46
SingleObjective,2200,3,30000,121.06000000000003
SingleObjective,2200,3,50000,132.84999999999997
SingleObjective,2200,3,70000,132.84999999999997
SingleObjective,2200,3,100000,132.84999999999997
SingleObjective,2200,4,100,-1931.0
SingleObjective,2200,4,200,-1891.0
SingleObjective,2200,4,500,-1591.0
SingleObjective,2200,4,1000,-1091.0
SingleObjective,2200,4,2000,-91.0
SingleObjective,2200,4,3000,73.40000000000003
SingleObjective,2200,4,5000,73.40000000000003
SingleObjective,2200,4,7000,80.59
SingleObjective,2200,4,10000,80.59
SingleObjective,2200,4,20000,92.12000000000008
SingleObjective,2200,4,30000,102.19999999999996
SingleObjective,2200,4,50000,125.20000000000003
SingleObjective,2200,4,70000,125.20000000000003
SingleObjective,2200,4,100000,125.20000000000003
SingleObjective,2200,5,100,-1950.0
SingleObjective,2200,5,200,-1878.0
SingleObjective,2200,5,500,-1578.0
SingleObjective,2200,5,1000,-1078.0
SingleObjective,2200,5,2000,-78.0
SingleObjective,2200,5,3000,103.10000000000002
SingleObjective,2200,5,5000,103.10000000000002
SingleObjective,2200,5,7000,116.72999999999996
SingleObjective,2200,5,10000,116.72999999999996
SingleObjective,2200,5,20000,116.72999999999996
SingleObjective,2200,5,30000,239.67999999999995
SingleObjective,2200,5,50000,239.67999999999995
SingleObjective,2200,5,70000,239.67999999999995
SingleObjective,2200,5,100000,239.67999999999995
SingleObjective,2200,6,100,-1934.0
SingleObjective,2200,6,200,-1884.0
SingleObjective,2200,6,500,-1584.0
SingleObjective,2200,6,1000,-1084.0
SingleObjective,2200,6,2000,-84.0
SingleObjective,2200,6,3000,107.81
SingleObjective,2200,6,5000,107.81
SingleObjective,2200,6,7000,107.81
SingleObjective,2200,6,10000,107.81
SingleObjective,2200,6,20000,107.81
SingleObjective,2200,6,30000,168.81
SingleObjective,2200,6,50000,168.81
SingleObjective,2200,6,70000,168.81
SingleObjective,2200,6,100000,168.81
SingleObjective,2200,7,100,-1944.0
SingleObjective,2200,7,200,-1866.0
SingleObjective,2200,7,500,-1566.0
SingleObjective,2200,7,1000,-1066.0
SingleObjective,2200,7,2000,-66.0
SingleObjective,2200,7,3000,49.489999999999995
SingleObjective,2200,7,5000,82.24999999999999
SingleObjective,2200,7,7000,82.24999999999999
SingleObjective,2200,7,10000,89.79999999999991
SingleObjective,2200,7,20000,103.98000000000002
SingleObjective,2200,7,30000,163.44000000000008
SingleObjective,2200,7,50000,163.44000000000008
SingleObjective,2200,7,70000,163.44000000000008
SingleObjective,2200,7,100000,163.44000000000008
SingleObjective,2200,8,100,-1951.0
SingleObjective,2200,8,200,-1883.0
SingleObjective,2200,8,500,-1583.0
SingleObjective,2200,8,1000,-1083.0
SingleObjective,2200,8,2000,-83.0
SingleObjective,2200,8,3000,108.61999999999999
