algorithm,problem_id,run_id,evaluations,fitness
ea11,2203,0,100,-1913.0
ea11,2203,0,200,-1866.0
ea11,2203,0,500,-1766.0
ea11,2203,0,1000,-1620.0
ea11,2203,0,2000,-1395.0
ea11,2203,0,3000,-1187.0
ea11,2203,0,5000,-873.0
ea11,2203,0,7000,-675.0
ea11,2203,0,10000,-458.0
ea11,2203,0,20000,-90.0
ea11,2203,0,30000,645.6
ea11,2203,0,50000,653.0600000000004
ea11,2203,0,70000,653.0600000000004
ea11,2203,0,100000,653.0600000000004
ea11,2203,1,100,-1898.0
ea11,2203,1,200,-1861.0
ea11,2203,1,500,-1769.0
ea11,2203,1,1000,-1633.0
ea11,2203,1,2000,-1394.0
ea11,2203,1,3000,-1200.0
ea11,2203,1,5000,-899.0
ea11,2203,1,7000,-686.0
ea11,2203,1,10000,-476.0
ea11,2203,1,20000,-122.0
ea11,2203,1,30000,627.8100000000003
ea11,2203,1,50000,632.5099999999996
ea11,2203,1,70000,634.5999999999998
ea11,2203,1,100000,709.3600000000001
ea11,2203,2,100,-1857.0
ea11,2203,2,200,-1828.0
ea11,2203,2,500,-1749.0
ea11,2203,2,1000,-1588.0
ea11,2203,2,2000,-1354.0
ea11,2203,2,3000,-1147.0
ea11,2203,2,5000,-847.0
ea11,2203,2,7000,-639.0
ea11,2203,2,10000,-428.0
ea11,2203,2,20000,-59.0
ea11,2203,2,30000,641.7400000000005
ea11,2203,2,50000,673.9899999999999
ea11,2203,2,70000,681.1600000000002
ea11,2203,2,100000,691.3699999999999
ea11,2203,3,100,-1887.0
ea11,2203,3,200,-1861.0
ea11,2203,3,500,-1762.0
ea11,2203,3,1000,-1630.0
ea11,2203,3,2000,-1391.0
ea11,2203,3,3000,-1183.0
ea11,2203,3,5000,-873.0
ea11,2203,3,7000,-657.0
ea11,2203,3,10000,-445.0
ea11,2203,3,20000,-100.0
ea11,2203,3,30000,623.0999999999998
ea11,2203,3,50000,629.1700000000001
ea11,2203,3,70000,717.2900000000004
ea11,2203,3,100000,717.2900000000004
ea11,2203,4,100,-1858.0
ea11,2203,4,200,-1830.0
ea11,2203,4,500,-1747.0
ea11,2203,4,1000,-1608.0
ea11,2203,4,2000,-1354.0
ea11,2203,4,3000,-1184.0
ea11,2203,4,5000,-845.0
ea11,2203,4,7000,-631.0
ea11,2203,4,10000,-438.0
ea11,2203,4,20000,-94.0
ea11,2203,4,30000,657.0199999999995
ea11,2203,4,50000,669.6200000000003
ea11,2203,4,70000,669.6200000000003
ea11,2203,4,100000,737.7499999999995
ea11,2203,5,100,-1912.0
ea11,2203,5,200,-1870.0
ea11,2203,5,500,-1777.0
ea11,2203,5,1000,-1630.0
ea11,2203,5,2000,-1406.0
ea11,2203,5,3000,-1209.0
ea11,2203,5,5000,-892.0
ea11,2203,5,7000,-684.0
ea11,2203,5,10000,-460.0
ea11,2203,5,20000,-87.0
ea11,2203,5,30000,653.4499999999999
ea11,2203,5,50000,667.1600000000001
ea11,2203,5,70000,670.3800000000001
ea11,2203,5,100000,670.3800000000001
ea11,2203,6,100,-1910.0
ea11,2203,6,200,-1885.0
ea11,2203,6,500,-1782.0
ea11,2203,6,1000,-1643.0
ea11,2203,6,2000,-1382.0
ea11,2203,6,3000,-1171.0
ea11,2203,6,5000,-860.0
ea11,2203,6,7000,-662.0
ea11,2203,6,10000,-435.0
ea11,2203,6,20000,-88.0
ea11,2203,6,30000,615.3999999999997
ea11,2203,6,50000,616.7500000000001
ea11,2203,6,70000,741.5600000000004
ea11,2203,6,100000,747.3500000000003
ea11,2203,7,100,-1851.0
ea11,2203,7,200,-1816.0
ea11,2203,7,500,-1729.0
ea11,2203,7,1000,-1570.0
ea11,2203,7,2000,-1340.0
ea11,2203,7,3000,-1158.0
ea11,2203,7,5000,-867.0
ea11,2203,7,7000,-671.0
ea11,2203,7,10000,-440.0
ea11,2203,7,20000,-97.0
ea11,2203,7,30000,694.7400000000004
ea11,2203,7,50000,695.5000000000001
ea11,2203,7,70000,703.22
ea11,2203,7,100000,896.9300000000005
ea11,2203,8,100,-1881.0
ea11,2203,8,200,-1838.0
ea11,2203,8,500,-1750.0
ea11,2203,8,1000,-1607.0
ea11,2203,8,2000,-1397.0
ea11,2203,8,3000,-1173.0
ea11,2203,8,5000,-837.0
ea11,2203,8,7000,-643.0
ea11,2203,8,10000,-443.0
ea11,2203,8,20000,-86.0
ea11,2203,8,30000,661.1700000000003
ea11,2203,8,50000,756.6200000000001
ea11,2203,8,70000,757.5800000000002
ea11,2203,8,100000,763.3000000000002
ea11,2203,9,100,-1897.0
ea11,2203,9,200,-1870.0
ea11,2203,9,500,-1765.0
ea11,2203,9,1000,-1635.0
ea11,2203,9,2000,-1391.0
ea11,2203,9,3000,-1180.0
ea11,2203,9,5000,-896.0
ea11,2203,9,7000,-676.0
ea11,2203,9,10000,-439.0
ea11,2203,9,20000,-109.0
ea11,2203,9,30000,681.9099999999999
ea11,2203,9,50000,704.4699999999998
ea11,2203,9,70000,704.4699999999998
ea11,2203,9,100000,704.4699999999998
ea11,2203,10,100,-1885.0
ea11,2203,10,200,-1846.0
ea11,2203,10,500,-1739.0
ea11,2203,10,1000,-1597.0
ea11,2203,10,2000,-1352.0
ea11,2203,10,3000,-1166.0
ea11,2203,10,5000,-881.0
ea11,2203,10,7000,-649.0
ea11,2203,10,10000,-428.0
ea11,2203,10,20000,-91.0
ea11,2203,10,30000,618.7600000000001
ea11,2203,10,50000,630.4700000000001
ea11,2203,10,70000,630.4700000000001
ea11,2203,10,100000,729.02
ea11,2203,11,100,-1847.0
ea11,2203,11,200,-1813.0
ea11,2203,11,500,-1729.0
ea11,2203,11,1000,-1578.0
ea11,2203,11,2000,-1363.0
ea11,2203,11,3000,-1187.0
ea11,2203,11,5000,-920.0
ea11,2203,11,7000,-695.0
ea11,2203,11,10000,-465.0
ea11,2203,11,20000,-116.0
ea11,2203,11,30000,634.58
ea11,2203,11,50000,743.4300000000004
ea11,2203,11,70000,843.81
ea11,2203,11,100000,861.5099999999998
ea11,2203,12,100,-1893.0
ea11,2203,12,200,-1858.0
ea11,2203,12,500,-1763.0
ea11,2203,12,1000,-1634.0
ea11,2203,12,2000,-1356.0
ea11,2203,12,3000,-1167.0
ea11,2203,12,5000,-867.0
ea11,2203,12,7000,-658.0
ea11,2203,12,10000,-429.0
ea11,2203,12,20000,-87.0
ea11,2203,12,30000,605.32
ea11,2203,12,50000,615.82
ea11,2203,12,70000,615.82
ea11,2203,12,100000,821.3699999999999
ea11,2203,13,100,-1895.0
ea11,2203,13,200,-1859.0
ea11,2203,13,500,-1767.0
ea11,2203,13,1000,-1612.0
ea11,2203,13,2000,-1361.0
ea11,2203,13,3000,-1189.0
ea11,2203,13,5000,-873.0
ea11,2203,13,7000,-651.0
ea11,2203,13,10000,-438.0
ea11,2203,13,20000,-94.0
ea11,2203,13,30000,643.3
ea11,2203,13,50000,643.3
ea11,2203,13,70000,656.8300000000003
ea11,2203,13,100000,656.8300000000003
ea11,2203,14,100,-1919.0
ea11,2203,14,200,-1880.0
ea11,2203,14,500,-1771.0
ea11,2203,14,1000,-1634.0
ea11,2203,14,2000,-1362.0
ea11,2203,14,3000,-1171.0
ea11,2203,14,5000,-896.0
ea11,2203,14,7000,-671.0
ea11,2203,14,10000,-464.0
ea11,2203,14,20000,-119.0
ea11,2203,14,30000,635.5699999999999
ea11,2203,14,50000,648.93
ea11,2203,14,70000,648.93
ea11,2203,14,100000,648.93
ea11,2203,15,100,-1887.0
ea11,2203,15,200,-1846.0
ea11,2203,15,500,-1761.0
ea11,2203,15,1000,-1624.0
ea11,2203,15,2000,-1391.0
ea11,2203,15,3000,-1202.0
ea11,2203,15,5000,-875.0
ea11,2203,15,7000,-656.0
ea11,2203,15,10000,-457.0
ea11,2203,15,20000,-105.0
ea11,2203,15,30000,721.2600000000002
