algorithm,problem_id,run_id,evaluations,fitness
RLS,2100,0,100,-182.0
RLS,2100,0,200,-146.0
RLS,2100,0,500,-72.0
RLS,2100,0,1000,-18.0
RLS,2100,0,2000,355.0
RLS,2100,0,3000,355.0
RLS,2100,0,5000,355.0
RLS,2100,0,7000,355.0
RLS,2100,0,10000,355.0
RLS,2100,1,100,-163.0
RLS,2100,1,200,-121.0
RLS,2100,1,500,-48.0
RLS,2100,1,1000,-8.0
RLS,2100,1,2000,380.0
RLS,2100,1,3000,380.0
RLS,2100,1,5000,380.0
RLS,2100,1,7000,380.0
RLS,2100,1,10000,380.0
RLS,2100,2,100,-189.0
RLS,2100,2,200,-147.0
RLS,2100,2,500,-65.0
RLS,2100,2,1000,-19.0
RLS,2100,2,2000,380.0
RLS,2100,2,3000,380.0
RLS,2100,2,5000,380.0
RLS,2100,2,7000,380.0
RLS,2100,2,10000,380.0
RLS,2100,3,100,-186.0
RLS,2100,3,200,-143.0
RLS,2100,3,500,-73.0
RLS,2100,3,1000,-18.0
RLS,2100,3,2000,381.0
RLS,2100,3,3000,381.0
RLS,2100,3,5000,381.0
RLS,2100,3,7000,381.0
RLS,2100,3,10000,381.0
RLS,2100,4,100,-176.0
RLS,2100,4,200,-136.0
RLS,2100,4,500,-77.0
RLS,2100,4,1000,-19.0
RLS,2100,4,2000,390.0
RLS,2100,4,3000,390.0
RLS,2100,4,5000,390.0
RLS,2100,4,7000,390.0
RLS,2100,4,10000,390.0
RLS,2100,5,100,-178.0
RLS,2100,5,200,-141.0
RLS,2100,5,500,-68.0
RLS,2100,5,1000,-15.0
RLS,2100,5,2000,398.0
RLS,2100,5,3000,398.0
RLS,2100,5,5000,398.0
RLS,2100,5,7000,398.0
RLS,2100,5,10000,398.0
RLS,2100,6,100,-169.0
RLS,2100,6,200,-141.0
RLS,2100,6,500,-70.0
RLS,2100,6,1000,-20.0
RLS,2100,6,2000,392.0
RLS,2100,6,3000,392.0
RLS,2100,6,5000,392.0
RLS,2100,6,7000,392.0
RLS,2100,6,10000,392.0
RLS,2100,7,100,-168.0
RLS,2100,7,200,-133.0
RLS,2100,7,500,-53.0
RLS,2100,7,1000,-13.0
RLS,2100,7,2000,396.0
RLS,2100,7,3000,396.0
RLS,2100,7,5000,396.0
RLS,2100,7,7000,396.0
RLS,2100,7,10000,396.0
RLS,2100,8,100,-194.0
RLS,2100,8,200,-157.0
RLS,2100,8,500,-80.0
RLS,2100,8,1000,-17.0
RLS,2100,8,2000,403.0
RLS,2100,8,3000,403.0
RLS,2100,8,5000,403.0
RLS,2100,8,7000,403.0
