algorithm,problem_id,run_id,evaluations,fitness
GA,2200,0,100,-1904.0
GA,2200,0,200,-1835.0
GA,2200,0,500,-1741.0
GA,2200,0,1000,-1676.0
GA,2200,0,2000,-1609.0
GA,2200,0,3000,-1540.0
GA,2200,0,5000,-1420.0
GA,2200,0,7000,-1306.0
GA,2200,0,10000,-1142.0
GA,2200,0,20000,-676.0
GA,2200,0,30000,-366.0
GA,2200,0,50000,-58.0
GA,2200,0,70000,122.94999999999997
GA,2200,0,100000,163.2
GA,2200,1,100,-1911.0
GA,2200,1,200,-1834.0
GA,2200,1,500,-1741.0
GA,2200,1,1000,-1636.0
GA,2200,1,2000,-1561.0
GA,2200,1,3000,-1491.0
GA,2200,1,5000,-1378.0
GA,2200,1,7000,-1277.0
GA,2200,1,10000,-1118.0
GA,2200,1,20000,-673.0
GA,2200,1,30000,-345.0
GA,2200,1,50000,-50.0
GA,2200,1,70000,134.37000000000003
GA,2200,1,100000,199.15
GA,2200,2,100,-1905.0
GA,2200,2,200,-1846.0
GA,2200,2,500,-1762.0
GA,2200,2,1000,-1702.0
GA,2200,2,2000,-1637.0
GA,2200,2,3000,-1581.0
GA,2200,2,5000,-1460.0
GA,2200,2,7000,-1340.0
GA,2200,2,10000,-1176.0
GA,2200,2,20000,-722.0
GA,2200,2,30000,-388.0
GA,2200,2,50000,-60.0
GA,2200,2,70000,163.35
GA,2200,2,100000,190.57000000000005
GA,2200,3,100,-1912.0
GA,2200,3,200,-1856.0
GA,2200,3,500,-1752.0
GA,2200,3,1000,-1658.0
GA,2200,3,2000,-1580.0
GA,2200,3,3000,-1508.0
GA,2200,3,5000,-1393.0
GA,2200,3,7000,-1271.0
GA,2200,3,10000,-1100.0
GA,2200,3,20000,-659.0
GA,2200,3,30000,-343.0
GA,2200,3,50000,-45.0
GA,2200,3,70000,142.57000000000008
GA,2200,3,100000,180.65
GA,2200,4,100,-1907.0
GA,2200,4,200,-1854.0
GA,2200,4,500,-1743.0
GA,2200,4,1000,-1637.0
GA,2200,4,2000,-1565.0
GA,2200,4,3000,-1506.0
GA,2200,4,5000,-1382.0
GA,2200,4,7000,-1260.0
GA,2200,4,10000,-1104.0
GA,2200,4,20000,-656.0
GA,2200,4,30000,-343.0
GA,2200,4,50000,-33.0
GA,2200,4,70000,155.44
GA,2200,4,100000,388.6099999999998
GA,2200,5,100,-1917.0
GA,2200,5,200,-1856.0
GA,2200,5,500,-1769.0
GA,2200,5,1000,-1701.0
GA,2200,5,2000,-1635.0
GA,2200,5,3000,-1571.0
GA,2200,5,5000,-1452.0
GA,2200,5,7000,-1342.0
GA,2200,5,10000,-1178.0
GA,2200,5,20000,-716.0
GA,2200,5,30000,-392.0
GA,2200,5,50000,-61.0
GA,2200,5,70000,242.3499999999999
GA,2200,5,100000,413.54999999999995
GA,2200,6,100,-1879.0
GA,2200,6,200,-1830.0
GA,2200,6,500,-1741.0
GA,2200,6,1000,-1685.0
GA,2200,6,2000,-1618.0
GA,2200,6,3000,-1561.0
GA,2200,6,5000,-1433.0
GA,2200,6,7000,-1307.0
GA,2200,6,10000,-1153.0
GA,2200,6,20000,-687.0
GA,2200,6,30000,-366.0
GA,2200,6,50000,-51.0
GA,2200,6,70000,121.01000000000002
GA,2200,6,100000,198.39000000000001
GA,2200,7,100,-1919.0
GA,2200,7,200,-1872.0
GA,2200,7,500,-1763.0
GA,2200,7,1000,-1691.0
GA,2200,7,2000,-1620.0
GA,2200,7,3000,-1563.0
GA,2200,7,5000,-1441.0
GA,2200,7,7000,-1314.0
GA,2200,7,10000,-1149.0
GA,2200,7,20000,-706.0
GA,2200,7,30000,-372.0
GA,2200,7,50000,-45.0
GA,2200,7,70000,108.73000000000003
GA,2200,7,100000,288.28
GA,2200,8,100,-1939.0
GA,2200,8,200,-1852.0
GA,2200,8,500,-1746.0
GA,2200,8,1000,-1673.0
GA,2200,8,2000,-1600.0
GA,2200,8,3000,-1540.0
GA,2200,8,5000,-1416.0
GA,2200,8,7000,-1297.0
GA,2200,8,10000,-1131.0
GA,2200,8,20000,-686.0
GA,2200,8,30000,-367.0
GA,2200,8,50000,-56.0
GA,2200,8,70000,137.85000000000002
GA,2200,8,100000,295.8899999999999
GA,2200,9,100,-1914.0
GA,2200,9,200,-1846.0
GA,2200,9,500,-1719.0
GA,2200,9,1000,-1631.0
GA,2200,9,2000,-1553.0
GA,2200,9,3000,-1487.0
GA,2200,9,5000,-1372.0
GA,2200,9,7000,-1251.0
GA,2200,9,10000,-1098.0
GA,2200,9,20000,-659.0
GA,2200,9,30000,-360.0
GA,2200,9,50000,-45.0
GA,2200,9,70000,139.44000000000003
GA,2200,9,100000,276.4800000000001
GA,2200,10,100,-1884.0
GA,2200,10,200,-1804.0
GA,2200,10,500,-1717.0
GA,2200,10,1000,-1615.0
GA,2200,10,2000,-1543.0
GA,2200,10,3000,-1480.0
GA,2200,10,5000,-1356.0
GA,2200,10,7000,-1247.0
GA,2200,10,10000,-1085.0
GA,2200,10,20000,-654.0
GA,2200,10,30000,-342.0
GA,2200,10,50000,-41.0
GA,2200,10,70000,124.11000000000001
GA,2200,10,100000,217.05000000000004
GA,2200,11,100,-1946.0
GA,2200,11,200,-1890.0
GA,2200,11,500,-1792.0
GA,2200,11,1000,-1707.0
GA,2200,11,2000,-1642.0
GA,2200,11,3000,-1583.0
GA,2200,11,5000,-1454.0
GA,2200,11,7000,-1328.0
GA,2200,11,10000,-1169.0
GA,2200,11,20000,-716.0
GA,2200,11,30000,-380.0
GA,2200,11,50000,-46.0
GA,2200,11,70000,215.32999999999998
GA,2200,11,100000,242.1
GA,2200,12,100,-1906.0
GA,2200,12,200,-1860.0
GA,2200,12,500,-1748.0
GA,2200,12,1000,-1671.0
GA,2200,12,2000,-1600.0
GA,2200,12,3000,-1532.0
GA,2200,12,5000,-1412.0
GA,2200,12,7000,-1292.0
GA,2200,12,10000,-1133.0
GA,2200,12,20000,-678.0
GA,2200,12,30000,-370.0
GA,2200,12,50000,-55.0
GA,2200,12,70000,134.07000000000002
GA,2200,12,100000,182.21999999999997
GA,2200,13,100,-1881.0
GA,2200,13,200,-1816.0
GA,2200,13,500,-1725.0
GA,2200,13,1000,-1658.0
GA,2200,13,2000,-1595.0
GA,2200,13,3000,-1531.0
GA,2200,13,5000,-1415.0
GA,2200,13,7000,-1294.0
GA,2200,13,10000,-1142.0
GA,2200,13,20000,-691.0
GA,2200,13,30000,-382.0
GA,2200,13,50000,-60.0
GA,2200,13,70000,142.7
GA,2200,13,100000,402.40000000000015
GA,2200,14,100,-1918.0
GA,2200,14,200,-1834.0
GA,2200,14,500,-1742.0
GA,2200,14,1000,-1652.0
GA,2200,14,2000,-1574.0
GA,2200,14,3000,-1511.0
GA,2200,14,5000,-1396.0
GA,2200,14,7000,-1280.0
GA,2200,14,10000,-1122.0
GA,2200,14,20000,-688.0
GA,2200,14,30000,-382.0
GA,2200,14,50000,-55.0
GA,2200,14,70000,103.88999999999997
GA,2200,14,100000,288.1000000000001
GA,2200,15,100,-1900.0
GA,2200,15,200,-1844.0
GA,2200,15,500,-1757.0
