algorithm,problem_id,run_id,evaluations,fitness
GSEMO,2201,0,100,-1974.0
GSEMO,2201,0,200,-1939.0
GSEMO,2201,0,500,-1845.0
GSEMO,2201,0,1000,-1685.0
GSEMO,2201,0,2000,-1433.0
GSEMO,2201,0,3000,-1240.0
GSEMO,2201,0,5000,-944.0
GSEMO,2201,0,7000,-734.0
GSEMO,2201,0,10000,-515.0
GSEMO,2201,0,20000,-173.0
GSEMO,2201,0,30000,-60.0
GSEMO,2201,0,50000,465.19999999999993
GSEMO,2201,0,70000,716.7799999999999
GSEMO,2201,0,100000,876.2100000000003
GSEMO,2201,1,100,-1916.0
GSEMO,2201,1,200,-1884.0
GSEMO,2201,1,500,-1783.0
GSEMO,2201,1,1000,-1647.0
GSEMO,2201,1,2000,-1412.0
GSEMO,2201,1,3000,-1210.0
GSEMO,2201,1,5000,-939.0
GSEMO,2201,1,7000,-732.0
GSEMO,2201,1,10000,-522.0
GSEMO,2201,1,20000,-182.0
GSEMO,2201,1,30000,-58.0
GSEMO,2201,1,50000,374.68999999999994
GSEMO,2201,1,70000,815.5499999999998
GSEMO,2201,1,100000,891.2500000000001
GSEMO,2201,2,100,-1938.0
GSEMO,2201,2,200,-1914.0
GSEMO,2201,2,500,-1825.0
GSEMO,2201,2,1000,-1677.0
GSEMO,2201,2,2000,-1440.0
GSEMO,2201,2,3000,-1257.0
GSEMO,2201,2,5000,-948.0
GSEMO,2201,2,7000,-736.0
GSEMO,2201,2,10000,-493.0
GSEMO,2201,2,20000,-172.0
GSEMO,2201,2,30000,-57.0
GSEMO,2201,2,50000,400.9699999999999
GSEMO,2201,2,70000,719.2699999999999
GSEMO,2201,2,100000,835.44
GSEMO,2201,3,100,-1955.0
GSEMO,2201,3,200,-1924.0
GSEMO,2201,3,500,-1832.0
GSEMO,2201,3,1000,-1715.0
GSEMO,2201,3,2000,-1465.0
GSEMO,2201,3,3000,-1250.0
GSEMO,2201,3,5000,-934.0
GSEMO,2201,3,7000,-724.0
GSEMO,2201,3,10000,-517.0
GSEMO,2201,3,20000,-187.0
GSEMO,2201,3,30000,-56.0
GSEMO,2201,3,50000,307.28000000000003
GSEMO,2201,3,70000,850.8299999999997
GSEMO,2201,3,100000,891.0700000000002
GSEMO,2201,4,100,-1966.0
GSEMO,2201,4,200,-1938.0
GSEMO,2201,4,500,-1838.0
GSEMO,2201,4,1000,-1708.0
GSEMO,2201,4,2000,-1484.0
GSEMO,2201,4,3000,-1271.0
GSEMO,2201,4,5000,-975.0
GSEMO,2201,4,7000,-764.0
GSEMO,2201,4,10000,-551.0
GSEMO,2201,4,20000,-166.0
GSEMO,2201,4,30000,-49.0
GSEMO,2201,4,50000,495.28000000000003
GSEMO,2201,4,70000,705.1599999999999
GSEMO,2201,4,100000,852.1200000000002
GSEMO,2201,5,100,-1923.0
GSEMO,2201,5,200,-1890.0
GSEMO,2201,5,500,-1798.0
GSEMO,2201,5,1000,-1647.0
GSEMO,2201,5,2000,-1409.0
GSEMO,2201,5,3000,-1230.0
GSEMO,2201,5,5000,-936.0
GSEMO,2201,5,7000,-717.0
GSEMO,2201,5,10000,-532.0
GSEMO,2201,5,20000,-176.0
GSEMO,2201,5,30000,-56.0
GSEMO,2201,5,50000,415.06
GSEMO,2201,5,70000,884.2100000000003
GSEMO,2201,5,100000,907.23
GSEMO,2201,6,100,-1962.0
GSEMO,2201,6,200,-1931.0
GSEMO,2201,6,500,-1842.0
GSEMO,2201,6,1000,-1705.0
GSEMO,2201,6,2000,-1463.0
GSEMO,2201,6,3000,-1244.0
GSEMO,2201,6,5000,-954.0
GSEMO,2201,6,7000,-746.0
GSEMO,2201,6,10000,-534.0
GSEMO,2201,6,20000,-170.0
GSEMO,2201,6,30000,-47.0
GSEMO,2201,6,50000,211.38000000000002
