algorithm,problem_id,run_id,evaluations,fitness
MultiObjective,2200,0,100,-1917.0
MultiObjective,2200,0,200,-1890.0
MultiObjective,2200,0,500,-1819.0
MultiObjective,2200,0,1000,-1795.0
MultiObjective,2200,0,2000,-1655.0
MultiObjective,2200,0,3000,-1571.0
MultiObjective,2200,0,5000,-1468.0
MultiObjective,2200,0,7000,-1388.0
MultiObjective,2200,0,10000,-1230.0
MultiObjective,2200,0,20000,-814.0
MultiObjective,2200,0,30000,-513.0
MultiObjective,2200,0,50000,-152.0
MultiObjective,2200,0,70000,-11.0
MultiObjective,2200,0,100000,762.0100000000001
MultiObjective,2200,1,100,-1913.0
MultiObjective,2200,1,200,-1863.0
MultiObjective,2200,1,500,-1810.0
MultiObjective,2200,1,1000,-1775.0
MultiObjective,2200,1,2000,-1686.0
MultiObjective,2200,1,3000,-1591.0
MultiObjective,2200,1,5000,-1495.0
MultiObjective,2200,1,7000,-1398.0
MultiObjective,2200,1,10000,-1239.0
MultiObjective,2200,1,20000,-812.0
MultiObjective,2200,1,30000,-519.0
MultiObjective,2200,1,50000,-142.0
MultiObjective,2200,1,70000,-15.0
MultiObjective,2200,1,100000,846.0299999999996
MultiObjective,2200,2,100,-1908.0
MultiObjective,2200,2,200,-1865.0
MultiObjective,2200,2,500,-1816.0
MultiObjective,2200,2,1000,-1771.0
MultiObjective,2200,2,2000,-1591.0
MultiObjective,2200,2,3000,-1530.0
MultiObjective,2200,2,5000,-1435.0
MultiObjective,2200,2,7000,-1329.0
MultiObjective,2200,2,10000,-1165.0
MultiObjective,2200,2,20000,-780.0
MultiObjective,2200,2,30000,-475.0
MultiObjective,2200,2,50000,-131.0
MultiObjective,2200,2,70000,-6.0
MultiObjective,2200,2,100000,821.8499999999997
MultiObjective,2200,3,100,-1907.0
MultiObjective,2200,3,200,-1868.0
MultiObjective,2200,3,500,-1808.0
MultiObjective,2200,3,1000,-1787.0
MultiObjective,2200,3,2000,-1735.0
MultiObjective,2200,3,3000,-1621.0
MultiObjective,2200,3,5000,-1456.0
MultiObjective,2200,3,7000,-1337.0
MultiObjective,2200,3,10000,-1191.0
MultiObjective,2200,3,20000,-763.0
MultiObjective,2200,3,30000,-466.0
MultiObjective,2200,3,50000,-111.0
MultiObjective,2200,3,70000,-12.0
MultiObjective,2200,3,100000,827.05
MultiObjective,2200,4,100,-1942.0
MultiObjective,2200,4,200,-1890.0
MultiObjective,2200,4,500,-1817.0
MultiObjective,2200,4,1000,-1770.0
MultiObjective,2200,4,2000,-1655.0
MultiObjective,2200,4,3000,-1587.0
MultiObjective,2200,4,5000,-1459.0
MultiObjective,2200,4,7000,-1344.0
MultiObjective,2200,4,10000,-1183.0
MultiObjective,2200,4,20000,-792.0
MultiObjective,2200,4,30000,-487.0
MultiObjective,2200,4,50000,-129.0
MultiObjective,2200,4,70000,-9.0
MultiObjective,2200,4,100000,806.6499999999997
MultiObjective,2200,5,100,-1919.0
MultiObjective,2200,5,200,-1855.0
MultiObjective,2200,5,500,-1794.0
MultiObjective,2200,5,1000,-1758.0
MultiObjective,2200,5,2000,-1657.0
MultiObjective,2200,5,3000,-1605.0
MultiObjective,2200,5,5000,-1490.0
MultiObjective,2200,5,7000,-1375.0
MultiObjective,2200,5,10000,-1226.0
MultiObjective,2200,5,20000,-802.0
MultiObjective,2200,5,30000,-499.0
MultiObjective,2200,5,50000,-139.0
MultiObjective,2200,5,70000,-6.0
MultiObjective,2200,5,100000,745.6900000000002
MultiObjective,2200,6,100,-1920.0
MultiObjective,2200,6,200,-1884.0
MultiObjective,2200,6,500,-1838.0
MultiObjective,2200,6,1000,-1770.0
MultiObjective,2200,6,2000,-1643.0
MultiObjective,2200,6,3000,-1593.0
MultiObjective,2200,6,5000,-1479.0
MultiObjective,2200,6,7000,-1378.0
MultiObjective,2200,6,10000,-1232.0
MultiObjective,2200,6,20000,-824.0
MultiObjective,2200,6,30000,-521.0
MultiObjective,2200,6,50000,-142.0
MultiObjective,2200,6,70000,-9.0
MultiObjective,2200,6,100000,789.2700000000002
MultiObjective,2200,7,100,-1915.0
MultiObjective,2200,7,200,-1866.0
MultiObjective,2200,7,500,-1786.0
MultiObjective,2200,7,1000,-1738.0
MultiObjective,2200,7,2000,-1616.0
MultiObjective,2200,7,3000,-1545.0
MultiObjective,2200,7,5000,-1436.0
MultiObjective,2200,7,7000,-1326.0
MultiObjective,2200,7,10000,-1175.0
MultiObjective,2200,7,20000,-767.0
MultiObjective,2200,7,30000,-472.0
MultiObjective,2200,7,50000,-115.0
MultiObjective,2200,7,70000,-3.0
MultiObjective,2200,7,100000,797.74
MultiObjective,2200,8,100,-1906.0
MultiObjective,2200,8,200,-1865.0
MultiObjective,2200,8,500,-1788.0
MultiObjective,2200,8,1000,-1734.0
MultiObjective,2200,8,2000,-1592.0
MultiObjective,2200,8,3000,-1540.0
MultiObjective,2200,8,5000,-1422.0
MultiObjective,2200,8,7000,-1317.0
MultiObjective,2200,8,10000,-1177.0
MultiObjective,2200,8,20000,-790.0
MultiObjective,2200,8,30000,-483.0
MultiObjective,2200,8,50000,-123.0
MultiObjective,2200,8,70000,-12.0
MultiObjective,2200,8,100000,761.8399999999998
MultiObjective,2200,9,100,-1909.0
MultiObjective,2200,9,200,-1884.0
MultiObjective,2200,9,500,-1799.0
MultiObjective,2200,9,1000,-1757.0
MultiObjective,2200,9,2000,-1655.0
MultiObjective,2200,9,3000,-1587.0
MultiObjective,2200,9,5000,-1473.0
MultiObjective,2200,9,7000,-1355.0
MultiObjective,2200,9,10000,-1209.0
MultiObjective,2200,9,20000,-779.0
MultiObjective,2200,9,30000,-477.0
MultiObjective,2200,9,50000,-120.0
MultiObjective,2200,9,70000,-7.0
MultiObjective,2200,9,100000,827.6999999999999
MultiObjective,2200,10,100,-1897.0
MultiObjective,2200,10,200,-1870.0
MultiObjective,2200,10,500,-1792.0
MultiObjective,2200,10,1000,-1744.0
MultiObjective,2200,10,2000,-1626.0
MultiObjective,2200,10,3000,-1572.0
MultiObjective,2200,10,5000,-1459.0
MultiObjective,2200,10,7000,-1361.0
MultiObjective,2200,10,10000,-1205.0
MultiObjective,2200,10,20000,-809.0
MultiObjective,2200,10,30000,-504.0
MultiObjective,2200,10,50000,-124.0
MultiObjective,2200,10,70000,-6.0
MultiObjective,2200,10,100000,804.0100000000002
MultiObjective,2200,11,100,-1916.0
MultiObjective,2200,11,200,-1845.0
MultiObjective,2200,11,500,-1786.0
MultiObjective,2200,11,1000,-1747.0
MultiObjective,2200,11,2000,-1625.0
MultiObjective,2200,11,3000,-1529.0
MultiObjective,2200,11,5000,-1435.0
MultiObjective,2200,11,7000,-1337.0
MultiObjective,2200,11,10000,-1182.0
MultiObjective,2200,11,20000,-808.0
MultiObjective,2200,11,30000,-520.0
MultiObjective,2200,11,50000,-150.0
MultiObjective,2200,11,70000,-16.0
MultiObjective,2200,11,100000,760.0600000000003
MultiObjective,2200,12,100,-1933.0
MultiObjective,2200,12,200,-1892.0
MultiObjective,2200,12,500,-1804.0
MultiObjective,2200,12,1000,-1777.0
MultiObjective,2200,12,2000,-1660.0
MultiObjective,2200,12,3000,-1575.0
MultiObjective,2200,12,5000,-1456.0
MultiObjective,2200,12,7000,-1362.0
MultiObjective,2200,12,10000,-1224.0
MultiObjective,2200,12,20000,-809.0
MultiObjective,2200,12,30000,-510.0
MultiObjective,2200,12,50000,-118.0
