algorithm,problem_id,run_id,evaluations,fitness
SingleObjective,2201,0,100,-1952.0
SingleObjective,2201,0,200,-1877.0
SingleObjective,2201,0,500,-1577.0
SingleObjective,2201,0,1000,-1077.0
SingleObjective,2201,0,2000,-77.0
SingleObjective,2201,0,3000,134.35000000000005
SingleObjective,2201,0,5000,153.15999999999997
SingleObjective,2201,0,7000,153.15999999999997
SingleObjective,2201,0,10000,153.15999999999997
SingleObjective,2201,0,20000,162.75000000000003
SingleObjective,2201,0,30000,171.56999999999994
SingleObjective,2201,0,50000,190.79000000000005
SingleObjective,2201,0,70000,190.79000000000005
SingleObjective,2201,0,100000,190.79000000000005
SingleObjective,2201,1,100,-1882.0
SingleObjective,2201,1,200,-1782.0
SingleObjective,2201,1,500,-1482.0
SingleObjective,2201,1,1000,-982.0
SingleObjective,2201,1,2000,141.14000000000001
SingleObjective,2201,1,3000,141.14000000000001
SingleObjective,2201,1,5000,141.14000000000001
SingleObjective,2201,1,7000,147.14999999999998
SingleObjective,2201,1,10000,162.03999999999996
SingleObjective,2201,1,20000,292.52000000000015
SingleObjective,2201,1,30000,292.52000000000015
SingleObjective,2201,1,50000,292.52000000000015
SingleObjective,2201,1,70000,332.35999999999996
SingleObjective,2201,1,100000,332.35999999999996
SingleObjective,2201,2,100,-1906.0
SingleObjective,2201,2,200,-1870.0
SingleObjective,2201,2,500,-1570.0
SingleObjective,2201,2,1000,-1070.0
SingleObjective,2201,2,2000,-70.0
SingleObjective,2201,2,3000,164.01999999999992
SingleObjective,2201,2,5000,164.01999999999992
SingleObjective,2201,2,7000,164.01999999999992
SingleObjective,2201,2,10000,164.01999999999992
SingleObjective,2201,2,20000,174.2
SingleObjective,2201,2,30000,174.2
SingleObjective,2201,2,50000,178.70000000000002
SingleObjective,2201,2,70000,187.11999999999998
SingleObjective,2201,2,100000,231.66000000000008
SingleObjective,2201,3,100,-1948.0
SingleObjective,2201,3,200,-1854.0
SingleObjective,2201,3,500,-1554.0
SingleObjective,2201,3,1000,-1054.0
SingleObjective,2201,3,2000,-54.0
SingleObjective,2201,3,3000,114.25
SingleObjective,2201,3,5000,130.09999999999994
SingleObjective,2201,3,7000,135.06
SingleObjective,2201,3,10000,153.69000000000003
SingleObjective,2201,3,20000,175.20000000000002
SingleObjective,2201,3,30000,186.85000000000008
SingleObjective,2201,3,50000,187.41
SingleObjective,2201,3,70000,187.41
SingleObjective,2201,3,100000,187.41
SingleObjective,2201,4,100,-1935.0
SingleObjective,2201,4,200,-1877.0
SingleObjective,2201,4,500,-1577.0
SingleObjective,2201,4,1000,-1077.0
SingleObjective,2201,4,2000,-77.0
SingleObjective,2201,4,3000,148.06999999999994
SingleObjective,2201,4,5000,250.36999999999995
SingleObjective,2201,4,7000,250.36999999999995
SingleObjective,2201,4,10000,250.36999999999995
SingleObjective,2201,4,20000,250.36999999999995
SingleObjective,2201,4,30000,250.36999999999995
SingleObjective,2201,4,50000,299.66
SingleObjective,2201,4,70000,299.66
SingleObjective,2201,4,100000,372.60999999999984
SingleObjective,2201,5,100,-1940.0
SingleObjective,2201,5,200,-1856.0
SingleObjective,2201,5,500,-1556.0
SingleObjective,2201,5,1000,-1056.0
SingleObjective,2201,5,2000,-56.0
SingleObjective,2201,5,3000,178.82000000000005
SingleObjective,2201,5,5000,178.82000000000005
SingleObjective,2201,5,7000,178.82000000000005
SingleObjective,2201,5,10000,178.82000000000005
SingleObjective,2201,5,20000,178.82000000000005
SingleObjective,2201,5,30000,352.13999999999976
SingleObjective,2201,5,50000,352.13999999999976
SingleObjective,2201,5,70000,352.13999999999976
SingleObjective,2201,5,100000,352.13999999999976
SingleObjective,2201,6,100,-1897.0
SingleObjective,2201,6,200,-1797.0
SingleObjective,2201,6,500,-1497.0
SingleObjective,2201,6,1000,-997.0
SingleObjective,2201,6,2000,152.85999999999993
SingleObjective,2201,6,3000,152.85999999999993
SingleObjective,2201,6,5000,152.85999999999993
SingleObjective,2201,6,7000,173.8600000000001
SingleObjective,2201,6,10000,173.8600000000001
SingleObjective,2201,6,20000,175.26999999999992
SingleObjective,2201,6,30000,175.26999999999992
SingleObjective,2201,6,50000,189.50000000000006
SingleObjective,2201,6,70000,194.4500000000001
SingleObjective,2201,6,100000,301.2399999999999
SingleObjective,2201,7,100,-1931.0
SingleObjective,2201,7,200,-1844.0
SingleObjective,2201,7,500,-1544.0
SingleObjective,2201,7,1000,-1044.0
SingleObjective,2201,7,2000,-44.0
SingleObjective,2201,7,3000,156.44999999999993
SingleObjective,2201,7,5000,156.44999999999993
SingleObjective,2201,7,7000,161.98000000000005
SingleObjective,2201,7,10000,161.98000000000005
SingleObjective,2201,7,20000,227.12
SingleObjective,2201,7,30000,227.12
SingleObjective,2201,7,50000,227.12
SingleObjective,2201,7,70000,227.12
SingleObjective,2201,7,100000,227.12
SingleObjective,2201,8,100,-1926.0
SingleObjective,2201,8,200,-1907.0
SingleObjective,2201,8,500,-1607.0
SingleObjective,2201,8,1000,-1107.0
SingleObjective,2201,8,2000,-107.0
SingleObjective,2201,8,3000,168.59999999999994
SingleObjective,2201,8,5000,168.59999999999994
SingleObjective,2201,8,7000,168.59999999999994
SingleObjective,2201,8,10000,168.59999999999994
SingleObjective,2201,8,20000,173.37
SingleObjective,2201,8,30000,173.37
SingleObjective,2201,8,50000,173.37
SingleObjective,2201,8,70000,308.1499999999999
SingleObjective,2201,8,100000,308.1499999999999
SingleObjective,2201,9,100,-1903.0
SingleObjective,2201,9,200,-1879.0
SingleObjective,2201,9,500,-1579.0
SingleObjective,2201,9,1000,-1079.0
SingleObjective,2201,9,2000,-79.0
SingleObjective,2201,9,3000,142.33999999999997
SingleObjective,2201,9,5000,142.69999999999996
SingleObjective,2201,9,7000,160.96000000000004
SingleObjective,2201,9,10000,160.96000000000004
SingleObjective,2201,9,20000,168.84000000000003
SingleObjective,2201,9,30000,183.06
SingleObjective,2201,9,50000,192.64999999999998
SingleObjective,2201,9,70000,192.64999999999998
SingleObjective,2201,9,100000,213.84000000000003
SingleObjective,2201,10,100,-1909.0
SingleObjective,2201,10,200,-1849.0
SingleObjective,2201,10,500,-1549.0
SingleObjective,2201,10,1000,-1049.0
SingleObjective,2201,10,2000,-49.0
SingleObjective,2201,10,3000,188.65
SingleObjective,2201,10,5000,319.0599999999999
SingleObjective,2201,10,7000,319.0599999999999
SingleObjective,2201,10,10000,319.0599999999999
SingleObjective,2201,10,20000,319.0599999999999
SingleObjective,2201,10,30000,319.0599999999999
SingleObjective,2201,10,50000,319.0599999999999
SingleObjective,2201,10,70000,319.0599999999999
SingleObjective,2201,10,100000,321.01
SingleObjective,2201,11,100,-1944.0
SingleObjective,2201,11,200,-1844.0
SingleObjective,2201,11,500,-1544.0
SingleObjective,2201,11,1000,-1044.0
SingleObjective,2201,11,2000,-44.0
