algorithm,problem_id,run_id,evaluations,fitness
ea11,2202,0,100,-1978.0
ea11,2202,0,200,-1947.0
ea11,2202,0,500,-1855.0
ea11,2202,0,1000,-1721.0
ea11,2202,0,2000,-1478.0
ea11,2202,0,3000,-1268.0
ea11,2202,0,5000,-969.0
ea11,2202,0,7000,-746.0
ea11,2202,0,10000,-512.0
ea11,2202,0,20000,-128.0
ea11,2202,0,30000,-24.0
ea11,2202,0,50000,387.52999999999986
ea11,2202,0,70000,391.27
ea11,2202,0,100000,393.7300000000002
ea11,2202,1,100,-1934.0
ea11,2202,1,200,-1907.0
ea11,2202,1,500,-1814.0
ea11,2202,1,1000,-1676.0
ea11,2202,1,2000,-1427.0
ea11,2202,1,3000,-1223.0
ea11,2202,1,5000,-914.0
ea11,2202,1,7000,-716.0
ea11,2202,1,10000,-500.0
ea11,2202,1,20000,-165.0
ea11,2202,1,30000,-17.0
ea11,2202,1,50000,492.6599999999999
ea11,2202,1,70000,492.6599999999999
ea11,2202,1,100000,496.71000000000004
ea11,2202,2,100,-1959.0
ea11,2202,2,200,-1933.0
ea11,2202,2,500,-1846.0
ea11,2202,2,1000,-1678.0
ea11,2202,2,2000,-1417.0
ea11,2202,2,3000,-1221.0
ea11,2202,2,5000,-929.0
ea11,2202,2,7000,-710.0
ea11,2202,2,10000,-494.0
ea11,2202,2,20000,-135.0
ea11,2202,2,30000,-15.0
ea11,2202,2,50000,413.22
ea11,2202,2,70000,418.0299999999997
ea11,2202,2,100000,418.0299999999997
ea11,2202,3,100,-1960.0
ea11,2202,3,200,-1916.0
ea11,2202,3,500,-1842.0
ea11,2202,3,1000,-1693.0
ea11,2202,3,2000,-1454.0
ea11,2202,3,3000,-1274.0
ea11,2202,3,5000,-948.0
ea11,2202,3,7000,-731.0
ea11,2202,3,10000,-489.0
ea11,2202,3,20000,-141.0
ea11,2202,3,30000,-29.0
ea11,2202,3,50000,364.9499999999999
ea11,2202,3,70000,373.7100000000001
ea11,2202,3,100000,373.7100000000001
ea11,2202,4,100,-1904.0
ea11,2202,4,200,-1873.0
ea11,2202,4,500,-1799.0
ea11,2202,4,1000,-1668.0
ea11,2202,4,2000,-1432.0
ea11,2202,4,3000,-1252.0
ea11,2202,4,5000,-962.0
ea11,2202,4,7000,-744.0
ea11,2202,4,10000,-523.0
ea11,2202,4,20000,-150.0
ea11,2202,4,30000,-30.0
ea11,2202,4,50000,411.51000000000005
ea11,2202,4,70000,413.42000000000013
ea11,2202,4,100000,413.42000000000013
ea11,2202,5,100,-1944.0
ea11,2202,5,200,-1917.0
ea11,2202,5,500,-1814.0
ea11,2202,5,1000,-1670.0
ea11,2202,5,2000,-1449.0
ea11,2202,5,3000,-1229.0
ea11,2202,5,5000,-938.0
ea11,2202,5,7000,-744.0
ea11,2202,5,10000,-514.0
ea11,2202,5,20000,-147.0
ea11,2202,5,30000,-35.0
ea11,2202,5,50000,390.6599999999999
ea11,2202,5,70000,390.6599999999999
ea11,2202,5,100000,460.23
ea11,2202,6,100,-1970.0
ea11,2202,6,200,-1937.0
ea11,2202,6,500,-1838.0
ea11,2202,6,1000,-1684.0
ea11,2202,6,2000,-1430.0
ea11,2202,6,3000,-1250.0
ea11,2202,6,5000,-952.0
ea11,2202,6,7000,-738.0
ea11,2202,6,10000,-504.0
ea11,2202,6,20000,-155.0
ea11,2202,6,30000,-26.0
ea11,2202,6,50000,392.5299999999998
ea11,2202,6,70000,399.68
ea11,2202,6,100000,399.68
ea11,2202,7,100,-1911.0
ea11,2202,7,200,-1883.0
ea11,2202,7,500,-1800.0
ea11,2202,7,1000,-1676.0
ea11,2202,7,2000,-1448.0
ea11,2202,7,3000,-1241.0
ea11,2202,7,5000,-937.0
ea11,2202,7,7000,-752.0
ea11,2202,7,10000,-503.0
ea11,2202,7,20000,-149.0
ea11,2202,7,30000,-23.0
ea11,2202,7,50000,442.00000000000006
ea11,2202,7,70000,442.00000000000006
ea11,2202,7,100000,442.00000000000006
ea11,2202,8,100,-1992.0
ea11,2202,8,200,-1956.0
ea11,2202,8,500,-1870.0
ea11,2202,8,1000,-1716.0
ea11,2202,8,2000,-1461.0
ea11,2202,8,3000,-1262.0
ea11,2202,8,5000,-973.0
ea11,2202,8,7000,-759.0
ea11,2202,8,10000,-520.0
ea11,2202,8,20000,-146.0
ea11,2202,8,30000,-31.0
ea11,2202,8,50000,413.68000000000006
ea11,2202,8,70000,427.94
ea11,2202,8,100000,427.94
ea11,2202,9,100,-1938.0
ea11,2202,9,200,-1893.0
ea11,2202,9,500,-1799.0
ea11,2202,9,1000,-1646.0
ea11,2202,9,2000,-1410.0
ea11,2202,9,3000,-1206.0
ea11,2202,9,5000,-941.0
ea11,2202,9,7000,-738.0
ea11,2202,9,10000,-538.0
ea11,2202,9,20000,-142.0
ea11,2202,9,30000,-33.0
ea11,2202,9,50000,414.43
ea11,2202,9,70000,424.19000000000005
ea11,2202,9,100000,424.19000000000005
ea11,2202,10,100,-1913.0
ea11,2202,10,200,-1884.0
ea11,2202,10,500,-1792.0
ea11,2202,10,1000,-1641.0
ea11,2202,10,2000,-1424.0
ea11,2202,10,3000,-1232.0
ea11,2202,10,5000,-939.0
ea11,2202,10,7000,-711.0
ea11,2202,10,10000,-496.0
ea11,2202,10,20000,-155.0
ea11,2202,10,30000,-18.0
ea11,2202,10,50000,395.57
ea11,2202,10,70000,399.1
ea11,2202,10,100000,400.09000000000003
ea11,2202,11,100,-1878.0
ea11,2202,11,200,-1857.0
ea11,2202,11,500,-1765.0
ea11,2202,11,1000,-1633.0
ea11,2202,11,2000,-1394.0
ea11,2202,11,3000,-1204.0
ea11,2202,11,5000,-924.0
ea11,2202,11,7000,-684.0
ea11,2202,11,10000,-464.0
ea11,2202,11,20000,-148.0
ea11,2202,11,30000,-16.0
ea11,2202,11,50000,388.71000000000004
ea11,2202,11,70000,388.71000000000004
ea11,2202,11,100000,388.71000000000004
ea11,2202,12,100,-1941.0
ea11,2202,12,200,-1905.0
ea11,2202,12,500,-1802.0
ea11,2202,12,1000,-1663.0
ea11,2202,12,2000,-1425.0
ea11,2202,12,3000,-1221.0
ea11,2202,12,5000,-933.0
ea11,2202,12,7000,-715.0
ea11,2202,12,10000,-471.0
ea11,2202,12,20000,-126.0
ea11,2202,12,30000,-24.0
ea11,2202,12,50000,408.36000000000007
ea11,2202,12,70000,408.36000000000007
ea11,2202,12,100000,409.36
ea11,2202,13,100,-1899.0
ea11,2202,13,200,-1862.0
ea11,2202,13,500,-1768.0
ea11,2202,13,1000,-1632.0
ea11,2202,13,2000,-1409.0
ea11,2202,13,3000,-1199.0
ea11,2202,13,5000,-888.0
ea11,2202,13,7000,-690.0
ea11,2202,13,10000,-491.0
ea11,2202,13,20000,-141.0
ea11,2202,13,30000,-26.0
ea11,2202,13,50000,408.9299999999997
ea11,2202,13,70000,416.2700000000001
ea11,2202,13,100000,416.2700000000001
ea11,2202,14,100,-1936.0
ea11,2202,14,200,-1899.0
ea11,2202,14,500,-1804.0
ea11,2202,14,1000,-1671.0
ea11,2202,14,2000,-1443.0
ea11,2202,14,3000,-1257.0
ea11,2202,14,5000,-974.0
ea11,2202,14,7000,-748.0
ea11,2202,14,10000,-491.0
ea11,2202,14,20000,-120.0
ea11,2202,14,30000,-17.0
ea11,2202,14,50000,401.1
ea11,2202,14,70000,553.0100000000002
ea11,2202,14,100000,553.0100000000002
ea11,2202,15,100,-1938.0
ea11,2202,15,200,-1914.0
ea11,2202,15,500,-1822.0
ea11,2202,15,1000,-1713.0
ea11,2202,15,2000,-1464.0
ea11,2202,15,3000,-1249.0
ea11,2202,15,5000,-947.0
ea11,2202,15,7000,-748.0
ea11,2202,15,10000,-530.0
ea11,2202,15,20000,-151.0
ea11,2202,15,30000,-39.0
ea11,2202,15,50000,401.15000000000015
ea11,2202,15,70000,401.15000000000015
ea11,2202,15,100000,498.90000000000015
ea11,2202,16,100,-1929.0
ea11,2202,16,200,-1900.0
ea11,2202,16,500,-1813.0
ea11,2202,16,1000,-1674.0
ea11,2202,16,2000,-1437.0
ea11,2202,16,3000,-1267.0
ea11,2202,16,5000,-962.0
ea11,2202,16,7000,-763.0
ea11,2202,16,10000,-530.0
ea11,2202,16,20000,-157.0
ea11,2202,16,30000,-29.0
ea11,2202,16,50000,521.5200000000002
ea11,2202,16,70000,525.0199999999999
ea11,2202,16,100000,525.0199999999999
ea11,2202,17,100,-1947.0
ea11,2202,17,200,-1914.0
ea11,2202,17,500,-1819.0
ea11,2202,17,1000,-1688.0
ea11,2202,17,2000,-1436.0
ea11,2202,17,3000,-1225.0
ea11,2202,17,5000,-915.0
ea11,2202,17,7000,-718.0
ea11,2202,17,10000,-497.0
ea11,2202,17,20000,-159.0
ea11,2202,17,30000,-34.0
ea11,2202,17,50000,415.28999999999996
ea11,2202,17,70000,415.53000000000003
ea11,2202,17,100000,415.53000000000003
ea11,2202,18,100,-1928.0
ea11,2202,18,200,-1895.0
ea11,2202,18,500,-1822.0
ea11,2202,18,1000,-1674.0
ea11,2202,18,2000,-1408.0
ea11,2202,18,3000,-1208.0
ea11,2202,18,5000,-935.0
ea11,2202,18,7000,-737.0
ea11,2202,18,10000,-520.0
ea11,2202,18,20000,-168.0
ea11,2202,18,30000,-30.0
ea11,2202,18,50000,400.6700000000003
ea11,2202,18,70000,400.6700000000003
ea11,2202,18,100000,400.6700000000003
ea11,2202,19,100,-1930.0
ea11,2202,19,200,-1888.0
ea11,2202,19,500,-1791.0
ea11,2202,19,1000,-1629.0
ea11,2202,19,2000,-1408.0
ea11,2202,19,3000,-1209.0
ea11,2202,19,5000,-913.0
ea11,2202,19,7000,-705.0
ea11,2202,19,10000,-487.0
ea11,2202,19,20000,-146.0
ea11,2202,19,30000,-16.0
ea11,2202,19,50000,389.2100000000001
ea11,2202,19,70000,389.2100000000001
ea11,2202,19,100000,552.6599999999999
ea11,2202,20,100,-1899.0
ea11,2202,20,200,-1858.0
ea11,2202,20,500,-1757.0
ea11,2202,20,1000,-1598.0
ea11,2202,20,2000,-1398.0
ea11,2202,20,3000,-1195.0
ea11,2202,20,5000,-911.0
ea11,2202,20,7000,-719.0
ea11,2202,20,10000,-517.0
ea11,2202,20,20000,-161.0
ea11,2202,20,30000,-29.0
ea11,2202,20,50000,410.4100000000002
ea11,2202,20,70000,410.4100000000002
ea11,2202,20,100000,410.4100000000002
ea11,2202,21,100,-1944.0
ea11,2202,21,200,-1920.0
ea11,2202,21,500,-1829.0
ea11,2202,21,1000,-1694.0
ea11,2202,21,2000,-1464.0
ea11,2202,21,3000,-1240.0
ea11,2202,21,5000,-932.0
ea11,2202,21,7000,-717.0
ea11,2202,21,10000,-479.0
ea11,2202,21,20000,-126.0
ea11,2202,21,30000,-18.0
ea11,2202,21,50000,360.7599999999998
ea11,2202,21,70000,363.62
ea11,2202,21,100000,363.62
ea11,2202,22,100,-1981.0
ea11,2202,22,200,-1942.0
ea11,2202,22,500,-1844.0
ea11,2202,22,1000,-1718.0
ea11,2202,22,2000,-1497.0
ea11,2202,22,3000,-1304.0
ea11,2202,22,5000,-982.0
ea11,2202,22,7000,-757.0
ea11,2202,22,10000,-527.0
ea11,2202,22,20000,-153.0
ea11,2202,22,30000,-37.0
ea11,2202,22,50000,357.3699999999998
ea11,2202,22,70000,363.46999999999997
ea11,2202,22,100000,428.0899999999999
ea11,2202,23,100,-1990.0
ea11,2202,23,200,-1957.0
