algorithm,problem_id,run_id,evaluations,fitness
GA,2203,0,100,-1807.0
GA,2203,0,200,-1750.0
GA,2203,0,500,-1658.0
GA,2203,0,1000,-1577.0
GA,2203,0,2000,-1513.0
GA,2203,0,3000,-1449.0
GA,2203,0,5000,-1330.0
GA,2203,0,7000,-1219.0
GA,2203,0,10000,-1048.0
GA,2203,0,20000,-596.0
GA,2203,0,30000,-286.0
GA,2203,0,50000,711.1700000000002
GA,2203,0,70000,990.0599999999998
GA,2203,0,100000,1279.1300000000003
GA,2203,1,100,-1812.0
GA,2203,1,200,-1752.0
GA,2203,1,500,-1635.0
GA,2203,1,1000,-1571.0
GA,2203,1,2000,-1503.0
GA,2203,1,3000,-1447.0
GA,2203,1,5000,-1329.0
GA,2203,1,7000,-1209.0
GA,2203,1,10000,-1045.0
GA,2203,1,20000,-601.0
GA,2203,1,30000,-277.0
GA,2203,1,50000,821.5199999999999
GA,2203,1,70000,1186.7499999999998
GA,2203,1,100000,1271.04
GA,2203,2,100,-1813.0
GA,2203,2,200,-1714.0
GA,2203,2,500,-1609.0
GA,2203,2,1000,-1535.0
GA,2203,2,2000,-1461.0
GA,2203,2,3000,-1397.0
GA,2203,2,5000,-1276.0
GA,2203,2,7000,-1162.0
GA,2203,2,10000,-1008.0
GA,2203,2,20000,-568.0
GA,2203,2,30000,-251.0
GA,2203,2,50000,747.1499999999997
GA,2203,2,70000,823.2099999999999
GA,2203,2,100000,1174.990000000001
GA,2203,3,100,-1821.0
GA,2203,3,200,-1740.0
GA,2203,3,500,-1610.0
GA,2203,3,1000,-1530.0
GA,2203,3,2000,-1467.0
GA,2203,3,3000,-1404.0
GA,2203,3,5000,-1285.0
GA,2203,3,7000,-1177.0
GA,2203,3,10000,-1020.0
GA,2203,3,20000,-556.0
GA,2203,3,30000,-267.0
GA,2203,3,50000,675.3699999999998
GA,2203,3,70000,807.41
GA,2203,3,100000,1243.7200000000005
GA,2203,4,100,-1809.0
GA,2203,4,200,-1773.0
GA,2203,4,500,-1678.0
GA,2203,4,1000,-1602.0
GA,2203,4,2000,-1530.0
GA,2203,4,3000,-1461.0
GA,2203,4,5000,-1346.0
GA,2203,4,7000,-1230.0
GA,2203,4,10000,-1062.0
GA,2203,4,20000,-620.0
GA,2203,4,30000,-284.0
GA,2203,4,50000,709.2700000000002
GA,2203,4,70000,957.7600000000001
GA,2203,4,100000,1208.76
GA,2203,5,100,-1826.0
GA,2203,5,200,-1770.0
GA,2203,5,500,-1685.0
GA,2203,5,1000,-1607.0
GA,2203,5,2000,-1531.0
GA,2203,5,3000,-1472.0
GA,2203,5,5000,-1354.0
GA,2203,5,7000,-1241.0
GA,2203,5,10000,-1074.0
GA,2203,5,20000,-626.0
GA,2203,5,30000,-296.0
GA,2203,5,50000,690.32
GA,2203,5,70000,1206.55
GA,2203,5,100000,1277.4299999999994
GA,2203,6,100,-1819.0
GA,2203,6,200,-1762.0
GA,2203,6,500,-1633.0
GA,2203,6,1000,-1572.0
GA,2203,6,2000,-1501.0
GA,2203,6,3000,-1435.0
GA,2203,6,5000,-1309.0
GA,2203,6,7000,-1202.0
GA,2203,6,10000,-1032.0
GA,2203,6,20000,-598.0
GA,2203,6,30000,-266.0
GA,2203,6,50000,762.9900000000006
GA,2203,6,70000,1105.3700000000003
GA,2203,6,100000,1314.4600000000003
GA,2203,7,100,-1837.0
GA,2203,7,200,-1751.0
GA,2203,7,500,-1654.0
GA,2203,7,1000,-1567.0
GA,2203,7,2000,-1501.0
GA,2203,7,3000,-1445.0
GA,2203,7,5000,-1309.0
GA,2203,7,7000,-1193.0
GA,2203,7,10000,-1042.0
GA,2203,7,20000,-596.0
GA,2203,7,30000,-269.0
GA,2203,7,50000,789.3700000000001
GA,2203,7,70000,1038.7300000000002
GA,2203,7,100000,1150.87
GA,2203,8,100,-1803.0
GA,2203,8,200,-1749.0
GA,2203,8,500,-1649.0
GA,2203,8,1000,-1560.0
GA,2203,8,2000,-1489.0
GA,2203,8,3000,-1426.0
GA,2203,8,5000,-1308.0
GA,2203,8,7000,-1195.0
GA,2203,8,10000,-1031.0
GA,2203,8,20000,-594.0
GA,2203,8,30000,-269.0
GA,2203,8,50000,790.8400000000003
GA,2203,8,70000,1117.0500000000002
GA,2203,8,100000,1290.61
GA,2203,9,100,-1831.0
GA,2203,9,200,-1748.0
GA,2203,9,500,-1660.0
GA,2203,9,1000,-1575.0
GA,2203,9,2000,-1494.0
GA,2203,9,3000,-1430.0
GA,2203,9,5000,-1308.0
GA,2203,9,7000,-1195.0
GA,2203,9,10000,-1037.0
GA,2203,9,20000,-601.0
GA,2203,9,30000,-264.0
GA,2203,9,50000,768.3100000000001
GA,2203,9,70000,1183.07
GA,2203,9,100000,1302.0699999999995
GA,2203,10,100,-1810.0
GA,2203,10,200,-1771.0
GA,2203,10,500,-1641.0
GA,2203,10,1000,-1567.0
GA,2203,10,2000,-1506.0
GA,2203,10,3000,-1441.0
GA,2203,10,5000,-1312.0
GA,2203,10,7000,-1189.0
GA,2203,10,10000,-1031.0
GA,2203,10,20000,-587.0
GA,2203,10,30000,-282.0
GA,2203,10,50000,829.3100000000002
GA,2203,10,70000,1167.1900000000003
GA,2203,10,100000,1292.75
GA,2203,11,100,-1798.0
GA,2203,11,200,-1750.0
GA,2203,11,500,-1668.0
GA,2203,11,1000,-1612.0
GA,2203,11,2000,-1552.0
GA,2203,11,3000,-1488.0
GA,2203,11,5000,-1373.0
GA,2203,11,7000,-1254.0
GA,2203,11,10000,-1096.0
GA,2203,11,20000,-643.0
GA,2203,11,30000,-311.0
GA,2203,11,50000,893.8200000000002
GA,2203,11,70000,1171.62
GA,2203,11,100000,1269.6900000000005
GA,2203,12,100,-1808.0
GA,2203,12,200,-1750.0
GA,2203,12,500,-1653.0
GA,2203,12,1000,-1595.0
GA,2203,12,2000,-1513.0
GA,2203,12,3000,-1447.0
GA,2203,12,5000,-1323.0
GA,2203,12,7000,-1212.0
GA,2203,12,10000,-1039.0
GA,2203,12,20000,-589.0
GA,2203,12,30000,-282.0
GA,2203,12,50000,851.75
GA,2203,12,70000,1129.8699999999997
GA,2203,12,100000,1313.2000000000003
GA,2203,13,100,-1809.0
GA,2203,13,200,-1753.0
GA,2203,13,500,-1653.0
GA,2203,13,1000,-1574.0
GA,2203,13,2000,-1498.0
GA,2203,13,3000,-1435.0
GA,2203,13,5000,-1311.0
GA,2203,13,7000,-1197.0
GA,2203,13,10000,-1046.0
GA,2203,13,20000,-615.0
GA,2203,13,30000,-291.0
GA,2203,13,50000,684.5299999999999
GA,2203,13,70000,974.0799999999999
GA,2203,13,100000,1206.0499999999997
GA,2203,14,100,-1795.0
GA,2203,14,200,-1713.0
GA,2203,14,500,-1650.0
GA,2203,14,1000,-1576.0
GA,2203,14,2000,-1492.0
GA,2203,14,3000,-1429.0
GA,2203,14,5000,-1303.0
GA,2203,14,7000,-1198.0
GA,2203,14,10000,-1035.0
GA,2203,14,20000,-577.0
GA,2203,14,30000,-271.0
GA,2203,14,50000,657.3899999999999
GA,2203,14,70000,852.9599999999999
GA,2203,14,100000,1245.0799999999995
GA,2203,15,100,-1824.0
GA,2203,15,200,-1769.0
GA,2203,15,500,-1703.0
GA,2203,15,1000,-1641.0
GA,2203,15,2000,-1573.0
GA,2203,15,3000,-1510.0
GA,2203,15,5000,-1392.0
GA,2203,15,7000,-1274.0
GA,2203,15,10000,-1113.0
GA,2203,15,20000,-649.0
GA,2203,15,30000,-326.0
GA,2203,15,50000,759.5199999999996
GA,2203,15,70000,999.1899999999999
GA,2203,15,100000,1279.3000000000004
GA,2203,16,100,-1848.0
GA,2203,16,200,-1784.0
GA,2203,16,500,-1665.0
GA,2203,16,1000,-1601.0
GA,2203,16,2000,-1536.0
GA,2203,16,3000,-1471.0
GA,2203,16,5000,-1349.0
GA,2203,16,7000,-1230.0
GA,2203,16,10000,-1060.0
GA,2203,16,20000,-598.0
GA,2203,16,30000,-276.0
GA,2203,16,50000,777.4399999999999
GA,2203,16,70000,929.75
GA,2203,16,100000,1033.1299999999999
GA,2203,17,100,-1809.0
GA,2203,17,200,-1761.0
GA,2203,17,500,-1633.0
GA,2203,17,1000,-1557.0
GA,2203,17,2000,-1484.0
GA,2203,17,3000,-1427.0
GA,2203,17,5000,-1295.0
GA,2203,17,7000,-1171.0
GA,2203,17,10000,-1021.0
GA,2203,17,20000,-584.0
GA,2203,17,30000,-268.0
GA,2203,17,50000,777.5800000000004
GA,2203,17,70000,1019.6300000000002
GA,2203,17,100000,1245.5500000000006
GA,2203,18,100,-1824.0
GA,2203,18,200,-1772.0
GA,2203,18,500,-1681.0
GA,2203,18,1000,-1611.0
GA,2203,18,2000,-1529.0
GA,2203,18,3000,-1463.0
GA,2203,18,5000,-1341.0
GA,2203,18,7000,-1218.0
GA,2203,18,10000,-1063.0
GA,2203,18,20000,-611.0
GA,2203,18,30000,-289.0
GA,2203,18,50000,719.7800000000001
GA,2203,18,70000,1108.4799999999998
GA,2203,18,100000,1253.4700000000005
GA,2203,19,100,-1841.0
GA,2203,19,200,-1772.0
GA,2203,19,500,-1658.0
GA,2203,19,1000,-1562.0
GA,2203,19,2000,-1478.0
GA,2203,19,3000,-1419.0
GA,2203,19,5000,-1300.0
GA,2203,19,7000,-1183.0
GA,2203,19,10000,-1023.0
GA,2203,19,20000,-568.0
GA,2203,19,30000,-260.0
GA,2203,19,50000,685.4599999999998
GA,2203,19,70000,942.4399999999998
